Timestep,Auditory_Position,Visual_Position,Causal_Structure,Prob_Common,Noise_Std,Signal_Noise_Std,Azimuth_Min,Azimuth_Max,Starting_Position
1,-11.05001468135024,-13.607462803591957,false,0.7,2.0,0.5,-30.0,30.0,shared
2,-10.330564374101026,-10.457771200687455,true,0.7,2.0,0.5,-30.0,30.0,shared
3,-10.745592832178895,-11.590498810602705,true,0.7,2.0,0.5,-30.0,30.0,shared
4,-13.528207803517137,-14.18052916883131,true,0.7,2.0,0.5,-30.0,30.0,shared
5,-13.008496078089006,-13.30221718878616,true,0.7,2.0,0.5,-30.0,30.0,shared
6,-12.825533815669495,-12.75450045146812,true,0.7,2.0,0.5,-30.0,30.0,shared
7,-21.58590015876839,-10.691830148470546,false,0.7,2.0,0.5,-30.0,30.0,shared
8,-14.82868205534838,-14.730735858983618,true,0.7,2.0,0.5,-30.0,30.0,shared
9,-12.499803053670155,-11.181731909888939,true,0.7,2.0,0.5,-30.0,30.0,shared
10,-19.38394840039884,-10.571417405234067,false,0.7,2.0,0.5,-30.0,30.0,shared
11,-16.331090799522666,-16.086987317654952,true,0.7,2.0,0.5,-30.0,30.0,shared
12,-20.677187885109394,-18.771396671862977,true,0.7,2.0,0.5,-30.0,30.0,shared
13,-17.945088388622835,-19.484951646487506,true,0.7,2.0,0.5,-30.0,30.0,shared
14,-18.88249483941308,-19.542731286861724,true,0.7,2.0,0.5,-30.0,30.0,shared
15,-21.954174060717797,-18.410053682061694,false,0.7,2.0,0.5,-30.0,30.0,shared
16,-17.140115000239295,-16.40550782208856,true,0.7,2.0,0.5,-30.0,30.0,shared
17,-21.846910253296105,-15.935775442953606,false,0.7,2.0,0.5,-30.0,30.0,shared
18,-17.6195106017089,-17.193898240121158,true,0.7,2.0,0.5,-30.0,30.0,shared
19,-23.437333718100096,-19.39170854490381,false,0.7,2.0,0.5,-30.0,30.0,shared
20,-20.346063439446066,-19.04421989645263,true,0.7,2.0,0.5,-30.0,30.0,shared
21,-20.71564703265345,-23.719670767722665,false,0.7,2.0,0.5,-30.0,30.0,shared
22,-19.525157122252377,-23.667760124922108,false,0.7,2.0,0.5,-30.0,30.0,shared
23,-18.942710529608608,-19.742748377517387,true,0.7,2.0,0.5,-30.0,30.0,shared
24,-19.30100603410143,-17.828363921749432,false,0.7,2.0,0.5,-30.0,30.0,shared
25,-21.535140584130154,-21.319339738660798,true,0.7,2.0,0.5,-30.0,30.0,shared
26,-25.284244901966552,-25.03367850814338,true,0.7,2.0,0.5,-30.0,30.0,shared
27,-14.986740130227757,-20.51905392555273,false,0.7,2.0,0.5,-30.0,30.0,shared
28,-28.048152855883934,-27.67188080971571,true,0.7,2.0,0.5,-30.0,30.0,shared
29,-15.141658838794694,-18.392765630906606,false,0.7,2.0,0.5,-30.0,30.0,shared
30,-29.372531583437954,-30.33872298948351,true,0.7,2.0,0.5,-30.0,30.0,shared
31,-26.565356865514463,-26.644963057063816,true,0.7,2.0,0.5,-30.0,30.0,shared
32,-27.79723756771325,-27.878476083680216,true,0.7,2.0,0.5,-30.0,30.0,shared
33,-18.748608840861955,-18.99131413946593,false,0.7,2.0,0.5,-30.0,30.0,shared
34,-27.626529001432033,-28.968089136423075,true,0.7,2.0,0.5,-30.0,30.0,shared
35,-28.363666277281332,-29.024045951982362,true,0.7,2.0,0.5,-30.0,30.0,shared
36,-26.827430248034734,-26.42373627737253,true,0.7,2.0,0.5,-30.0,30.0,shared
37,-21.508843788423718,-17.575701659881744,false,0.7,2.0,0.5,-30.0,30.0,shared
38,-29.991317560835384,-29.685783461495188,true,0.7,2.0,0.5,-30.0,30.0,shared
39,-29.103891198834564,-28.72707594075504,true,0.7,2.0,0.5,-30.0,30.0,shared
40,-19.490853106982634,-16.071930506007252,false,0.7,2.0,0.5,-30.0,30.0,shared
41,-30.189820351674413,-29.736912621797995,true,0.7,2.0,0.5,-30.0,30.0,shared
42,-28.20681485572125,-27.76501845430833,true,0.7,2.0,0.5,-30.0,30.0,shared
43,-27.1955867393554,-27.340160057272072,true,0.7,2.0,0.5,-30.0,30.0,shared
44,-24.748157545965988,-24.11223125000424,true,0.7,2.0,0.5,-30.0,30.0,shared
45,-23.32120742050086,-22.502158016105327,true,0.7,2.0,0.5,-30.0,30.0,shared
